domain,site,sitemap,reason,new_urls_count,blacklisted_on
couvreur-isolation.fr,http://couvreur-isolation.fr,https://couvreur-isolation.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-laval.fr,http://couvreur-laval.fr,https://couvreur-laval.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-maintenance-toiture.fr,http://couvreur-maintenance-toiture.fr,https://couvreur-maintenance-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-maison-individuelle.fr,http://couvreur-maison-individuelle.fr,https://couvreur-maison-individuelle.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-maison.fr,http://couvreur-maison.fr,https://couvreur-maison.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-menton.fr,http://couvreur-menton.fr,https://couvreur-menton.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-nettoyage-toit.fr,http://couvreur-nettoyage-toit.fr,https://couvreur-nettoyage-toit.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-nouvelle-aquitaine.fr,http://couvreur-nouvelle-aquitaine.fr,https://couvreur-nouvelle-aquitaine.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-nouvelleaquitaine.fr,http://couvreur-nouvelleaquitaine.fr,https://couvreur-nouvelleaquitaine.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-ouest.fr,http://couvreur-ouest.fr,https://couvreur-ouest.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-pamiers.fr,http://couvreur-pamiers.fr,https://couvreur-pamiers.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-pose-bacacier.fr,http://couvreur-pose-bacacier.fr,https://couvreur-pose-bacacier.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-pose-toiture.fr,http://couvreur-pose-toiture.fr,https://couvreur-pose-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-pose-tuiles.fr,http://couvreur-pose-tuiles.fr,https://couvreur-pose-tuiles.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-pose-zinc.fr,http://couvreur-pose-zinc.fr,https://couvreur-pose-zinc.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-professionnel-toiture.fr,http://couvreur-professionnel-toiture.fr,https://couvreur-professionnel-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-professionnel.fr,http://couvreur-professionnel.fr,https://couvreur-professionnel.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-provence-alpes-cote-azur.fr,http://couvreur-provence-alpes-cote-azur.fr,https://couvreur-provence-alpes-cote-azur.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
